start,end,w
7,36,0.5
7,62,0.5
7,65,0.5
7,68,0.5
7,75,0.5
7,77,0.5
7,82,0.5
7,262,0.5
7,350,0.5
7,427,0.5
7,567,0.5
7,602,0.5
7,603,0.5
7,786,0.5
7,865,0.5
7,930,0.5
7,1077,0.5
7,1232,0.5
7,1252,0.5
7,1345,0.5
7,1346,0.5
7,1443,0.5
7,1749,0.5
7,1802,0.5
7,1826,0.5
7,1958,0.5
7,2019,0.5
7,2063,0.5
7,2119,0.5
7,2125,0.5
7,2163,0.5
7,2173,0.5
7,2178,0.5
7,2461,0.5
7,2486,0.5
7,2772,0.5
7,2852,0.5
7,2944,0.5
7,2950,0.5
